"A Ashish Reddy"
"A Chandila"
"A Choudhary"
"A Dananjaya"
"A Flintoff"
"A Kumble"
"A Mishra"
"A Mithun"
"A Nehra"
"A Nel"
"A Nortje"
"A Singh"
"A Symonds"
"A Uniyal"
"A Zampa"
"AA Chavan"
"AA Jhunjhunwala"
"AA Kazi"
"AA Noffke"
"AB Agarkar"
"AB Dinda"
"AB McDonald"
"AC Gilchrist"
"AC Thomas"
"AC Voges"
"AD Mascarenhas"
"AD Mathews"
"AD Russell"
"AF Milne"
"AG Murtaza"
"AJ Finch"
"AJ Tye"
"AL Menaria"
"AM Nayar"
"AM Rahane"
"AM Salvi"
"AN Ahmed"
"AP Dole"
"AR Patel"
"AS Joseph"
"AS Rajpoot"
"AS Raut"
"AS Roy"
"AUK Pathan"
"Abdul Samad"
"Abdur Razzak"
"Abhishek Sharma"
"Anand Rajan"
"Ankit Sharma"
"Ankit Soni"
"Anureet Singh"
"Arshdeep Singh"
"Avesh Khan"
"Azhar Mahmood"
"B Akhil"
"B Chipli"
"B Geeves"
"B Kumar"
"B Laughlin"
"B Lee"
"B Stanlake"
"BA Bhatt"
"BA Stokes"
"BAW Mendis"
"BB Sran"
"BCJ Cutting"
"BE Hendricks"
"BJ Hodge"
"BJ Rohrer"
"BMAJ Mendis"
"BW Hilfenhaus"
"Basil Thampi"
"Bipul Sharma"
"C Ganapathy"
"C Munro"
"C Nanda"
"C de Grandhomme"
"CH Gayle"
"CH Morris"
"CJ Anderson"
"CJ Dala"
"CJ Green"
"CJ Jordan"
"CJ McKay"
"CK Kapugedera"
"CK Langeveldt"
"CL White"
"CR Brathwaite"
"CR Woakes"
"CRD Fernando"
"CV Varun"
"D Kalyankrishna"
"D Salunkhe"
"D Wiese"
"D du Preez"
"DA Warner"
"DAJ Bracewell"
"DB Ravi Teja"
"DE Bollinger"
"DJ Bravo"
"DJ Harris"
"DJ Hooda"
"DJ Hussey"
"DJ Muthuswami"
"DJ Thornely"
"DJ Willey"
"DJG Sammy"
"DJM Short"
"DL Chahar"
"DL Vettori"
"DNT Zoysa"
"DP Nannes"
"DP Vijaykumar"
"DR Sams"
"DR Smith"
"DS Kulkarni"
"DT Christian"
"DW Steyn"
"F du Plessis"
"FH Edwards"
"FY Fazal"
"GB Hogg"
"GC Viljoen"
"GD McGrath"
"GH Vihari"
"GJ Maxwell"
"GR Napier"
"GS Sandhu"
"Gagandeep Singh"
"Gurkeerat Singh"
"HF Gurney"
"HH Pandya"
"HV Patel"
"Harbhajan Singh"
"Harmeet Singh"
"Harmeet Singh (2)"
"Harpreet Brar"
"I Malhotra"
"I Sharma"
"I Udana"
"IC Pandey"
"IK Pathan"
"IS Sodhi"
"Imran Tahir"
"Iqbal Abdulla"
"J Botha"
"J Suchith"
"J Syed Mohammad"
"J Theron"
"J Yadav"
"JA Morkel"
"JC Archer"
"JD Ryder"
"JD Unadkat"
"JDP Oram"
"JDS Neesham"
"JE Taylor"
"JEC Franklin"
"JH Kallis"
"JJ Bumrah"
"JJ van der Wath"
"JL Pattinson"
"JM Kemp"
"JO Holder"
"JP Behrendorff"
"JP Duminy"
"JP Faulkner"
"JPR Scantlebury-Searles"
"JR Hazlewood"
"JR Hopes"
"JW Hastings"
"Jaskaran Singh"
"Joginder Sharma"
"K Goel"
"K Gowtham"
"K Khejroliya"
"K Rabada"
"K Santokie"
"K Upadhyay"
"KA Jamieson"
"KA Pollard"
"KAJ Roach"
"KC Cariappa"
"KH Pandya"
"KJ Abbott"
"KK Ahmed"
"KK Cooper"
"KL Nagarkoti"
"KM Asif"
"KMA Paul"
"KMDN Kulasekara"
"KP Appanna"
"KP Pietersen"
"KS Williamson"
"KV Sharma"
"KW Richardson"
"Kamran Khan"
"Karanveer Singh"
"Kartik Tyagi"
"Kuldeep Yadav"
"L Ablish"
"L Balaji"
"L Ngidi"
"LA Carseldine"
"LE Plunkett"
"LH Ferguson"
"LJ Wright"
"LMP Simmons"
"LPC Silva"
"LR Shukla"
"LRPL Taylor"
"LS Livingstone"
"M Ashwin"
"M Jansen"
"M Kartik"
"M Manhas"
"M Markande"
"M Morkel"
"M Muralitharan"
"M Ntini"
"M Prasidh Krishna"
"M Vijay"
"M de Lange"
"MA Khote"
"MA Starc"
"MA Wood"
"MB Parmar"
"MC Henriques"
"MF Maharoof"
"MG Johnson"
"MG Neser"
"MJ Clarke"
"MJ Henry"
"MJ McClenaghan"
"MJ Santner"
"MK Lomror"
"MK Tiwary"
"MM Ali"
"MM Patel"
"MM Sharma"
"MN Samuels"
"MP Stoinis"
"MR Marsh"
"MS Gony"
"Mandeep Singh"
"Mashrafe Mortaza"
"Mohammad Asif"
"Mohammad Hafeez"
"Mohammad Nabi"
"Mohammed Shami"
"Mohammed Siraj"
"Monu Kumar"
"Mujeeb Ur Rahman"
"Mustafizur Rahman"
"N Rana"
"NA Saini"
"NB Singh"
"ND Doshi"
"NJ Rimmington"
"NL McCullum"
"NLTC Perera"
"NM Coulter-Nile"
"O Thomas"
"P Amarnath"
"P Awana"
"P Dubey"
"P Kumar"
"P Negi"
"P Parameswaran"
"P Prasanth"
"P Ray Barman"
"P Sahu"
"P Suyal"
"PC Valthaty"
"PD Collingwood"
"PJ Cummins"
"PJ Sangwan"
"PM Sarvesh Kumar"
"PP Chawla"
"PP Ojha"
"PV Tambe"
"Pankaj Singh"
"Parvez Rasool"
"R Ashwin"
"R Bhatia"
"R Dhawan"
"R McLaren"
"R Ninan"
"R Parag"
"R Rampaul"
"R Sathish"
"R Sharma"
"R Shukla"
"R Tewatia"
"R Vinay Kumar"
"RA Jadeja"
"RA Shaikh"
"RA Tripathi"
"RD Chahar"
"RE van der Merwe"
"RG More"
"RG Sharma"
"RJ Harris"
"RJ Peterson"
"RN ten Doeschate"
"RP Singh"
"RR Bhatkal"
"RR Bose"
"RR Powar"
"RR Raje"
"RS Bopara"
"RS Gavaskar"
"RV Gomez"
"RW Price"
"Rashid Khan"
"Rasikh Salam"
"Ravi Bishnoi"
"S Aravind"
"S Badree"
"S Dhawan"
"S Dube"
"S Gopal"
"S Kaul"
"S Kaushik"
"S Ladda"
"S Lamichhane"
"S Midhun"
"S Nadeem"
"S Narwal"
"S Rana"
"S Randiv"
"S Sandeep Warrier"
"S Sreesanth"
"S Sriram"
"S Tyagi"
"S Vidyut"
"SA Abbott"
"SA Yadav"
"SB Bangar"
"SB Jakati"
"SB Joshi"
"SB Styris"
"SB Wagh"
"SC Ganguly"
"SC Kuggeleijn"
"SD Chitnis"
"SE Bond"
"SE Rutherford"
"SJ Srivastava"
"SK Raina"
"SK Trivedi"
"SK Warne"
"SL Malinga"
"SM Boland"
"SM Curran"
"SM Harwood"
"SM Pollock"
"SMSM Senanayake"
"SN Khan"
"SN Thakur"
"SP Narine"
"SPD Smith"
"SR Tendulkar"
"SR Watson"
"SS Agarwal"
"SS Cottrell"
"SS Mundhe"
"SS Sarkar"
"ST Jayasuriya"
"STR Binny"
"SW Tait"
"Sachin Baby"
"Sandeep Sharma"
"Shahbaz Ahmed"
"Shahid Afridi"
"Shakib Al Hasan"
"Shivam Mavi"
"Shivam Sharma"
"Shoaib Ahmed"
"Shoaib Akhtar"
"Shoaib Malik"
"Sohail Tanvir"
"Sunny Gupta"
"Swapnil Singh"
"T Henderson"
"T Natarajan"
"T Shamsi"
"T Thushara"
"TA Boult"
"TG Southee"
"TK Curran"
"TL Suman"
"TM Dilshan"
"TM Head"
"TP Sudhindra"
"TS Mills"
"TU Deshpande"
"Tejas Baroka"
"UT Yadav"
"Umar Gul"
"V Kohli"
"V Pratap Singh"
"V Sehwag"
"V Shankar"
"VR Aaron"
"VRV Singh"
"VS Malik"
"VS Yeligati"
"VY Mahesh"
"WA Mota"
"WD Parnell"
"WPUJC Vaas"
"Washington Sundar"
"Y Gnaneswara Rao"
"Y Nagar"
"Y Prithvi Raj"
"Y Venugopal Rao"
"YA Abdulla"
"YK Pathan"
"YS Chahal"
"Yuvraj Singh"
"Z Khan"
